HR,Name,GLON,GLON_shifted,GLAT,Vmag
469,52Chi And,131.89,48.11,-17.65,4.98
470,,130.16,49.84,-8.32,6.39
471,,259.18,-79.18,-76.31,5.94
472,Alp Eri,290.84,-110.84,-58.79,0.46
473,,187.04,-7.04,-77.72,5.58
474,,204.39,-24.39,-79.16,6.7
475,105    Psc,139.37,40.63,-44.92,5.97
476,,132.35,47.65,-18.67,5.61
477,53Tau And,132.92,47.08,-21.34,4.94
478,43    Cas,127.68,52.32,5.64,5.59
479,,287.7,-107.7,-62.27,6.84
480,42    Cas,127.21,52.79,8.18,5.18
481,,129.02,50.98,-1.23,6.71
482,,129.52,50.48,-3.59,6.37
483,,132.7,47.3,-19.3,4.95
484,,136.8,43.2,-35.78,6.17
485,,135.69,44.31,-31.58,5.99
486,,289.6,-109.6,-59.66,5.87
487,,289.6,-109.6,-59.66,5.76
488,,129.06,50.94,-0.84,6.34
489,106Nu  Psc,145.12,34.88,-55.22,4.44
490,,134.46,45.54,-26.49,5.64
491,44    Cas,129.27,50.73,-1.68,5.78
492,,162.14,17.86,-70.26,5.75
493,107    Psc,138.88,41.12,-41.01,5.24
494,,262.44,-82.44,-74.8,6.17
495,,132.4,47.6,-16.59,6.34
496,Phi Per,131.32,48.68,-11.33,4.07
497,Pi  Scl,241.27,-61.27,-77.84,5.25
498,,258.27,-78.27,-75.56,5.72
499,,130,50,-4.61,6.21
500,,152.75,27.25,-63.55,4.99
501,,283.51,-103.51,-65.15,6.64
502,,130.16,49.84,-5.03,6.25
503,,135.65,44.35,-29.38,6.34
504,,132.43,47.57,-15.75,6.35
505,,292.17,-112.17,-55.27,5.71
506,,286.9,-106.9,-61.77,5.52
507,,154.47,25.53,-64.37,6.19
508,109    Psc,139.67,40.33,-41.04,6.27
509,52Tau Cet,173.19,6.81,-73.43,3.5
510,110Omi Psc,144.61,35.39,-51.43,4.26
511,,129.08,50.92,1.66,5.63
512,,301.23,-121.23,-34,5.87
513,,156.61,23.39,-64.97,5.34
514,Eps Scl,206.28,-26.28,-77.66,5.31
515,,141.2,38.8,-43.49,6.55
516,Tau1Hyi,299.99,-119.99,-37.69,6.33
517,,217.1,-37.1,-77.87,6.39
518,,133,47,-15.54,6.32
519,,282.92,-102.92,-64.14,5.49
520,,285.68,-105.68,-61.74,5.04
521,,135.2,44.8,-23.55,5.94
522,4    Ari,141.89,38.11,-43.82,5.84
523,,136.65,43.35,-28.66,5.79
524,,268.52,-88.52,-71.43,6.18
525,,301.7,-121.7,-32.25,5.69
526,,132.86,47.14,-13.86,5.82
527,,149.17,30.83,-56.25,5.91
528,,256.59,-76.59,-74.45,6.32
529,,132.18,47.82,-9.87,5.9
530,1    Ari,140.39,39.61,-38.6,5.86
531,53Chi Cet,165.48,14.52,-68.61,4.67
532,,233.7,-53.7,-76.77,6.34
533,1    Per,131.57,48.43,-6.7,5.52
534,,145.58,34.42,-49.2,5.94
535,,259.3,-79.3,-73.37,6.37
536,2    Per,132.64,47.36,-10.93,5.79
537,,277.77,-97.77,-66.33,6.14
538,,132.58,47.42,-10.24,6.26
539,55Zet Cet,165.88,14.12,-68.05,3.73
540,,131.72,48.28,-6.21,6.45
541,,280.7,-100.7,-64.28,5.94
542,45Eps Cas,129.84,50.16,1.65,3.38
543,55    And,135.4,44.6,-20.64,5.4
544,2Alp Tri,138.64,41.36,-31.4,3.41
545,5Gam1Ari,142.55,37.45,-41.2,4.83
546,5Gam2Ari,142.55,37.45,-41.2,4.75
547,,180.42,-0.42,-72.52,5.8
548,46Ome Cas,128.77,51.23,6.55,4.99
549,111Xi  Psc,151.64,28.36,-56.18,4.62
550,Tau2Hyi,299.96,-119.96,-36.63,6.06
551,,135.72,44.28,-20.59,6.24
552,,136.75,43.25,-24.03,6.26
553,6Bet Ari,142.24,37.76,-39.68,2.64
554,,258.35,-78.35,-72.71,6.1
555,Psi Phe,274.35,-94.35,-67.22,4.41
556,,136.91,43.09,-23.84,5.89
557,56    And,136.96,43.04,-23.85,5.67
558,Phi Phe,267.17,-87.17,-69.99,5.11
559,7    Ari,141.48,38.52,-36.96,5.74
560,,153.67,26.33,-57.13,6.01
561,,130.8,49.2,-0.14,6.02
562,,136.03,43.97,-19.48,6.78
563,8Iot Ari,144.34,35.66,-42.3,5.1
564,,140.4,39.6,-32.81,5.82
565,56    Cet,199.22,-19.22,-74.52,4.85
566,Chi Eri,280.88,-100.88,-62.67,3.7
567,,130.16,49.84,2.71,5.26
568,3    Per,134.06,45.94,-12.21,5.69
569,9Lam Ari,142.04,37.96,-36.8,4.79
570,Eta2Hyi,293.93,-113.93,-48.35,4.69
571,,289.48,-109.48,-54.55,6.06
572,,126.76,53.24,15.58,6.04
573,,280.76,-100.76,-62.45,6.1
574,,274.84,-94.84,-66,4.83
575,48    Cas,128.69,51.31,8.83,4.54
576,,239.29,-59.29,-74.36,6.35
577,,143.55,36.45,-39.07,5.87
578,,147.82,32.18,-47.26,6.09
579,,127.95,52.05,11.68,6.23
580,50    Cas,128.38,51.62,10.31,3.98
581,47    Cas,127.06,52.94,15,5.38
582,112    Psc,154.33,25.67,-55.53,5.88
583,57    Cet,194.6,-14.6,-73.19,5.41
584,,292.2,-112.2,-50.3,6.37
585,59Ups Cet,195.47,-15.47,-73.25,4
586,52    Cas,130.42,49.58,3.07,6
587,,167.4,12.6,-65.25,5.51
588,,264.25,-84.25,-69.6,5.57
589,53    Cas,130.57,49.43,2.59,5.58
590,4    Per,133.19,46.81,-6.97,5.04
591,Alp Hyi,289.45,-109.45,-53.76,2.86
592,49    Cas,127.44,52.56,13.9,5.22
593,Sig Hyi,298.84,-118.84,-38.26,6.16
594,Pi  For,227.66,-47.66,-74.42,5.35
595,113Alp Psc,155.35,24.65,-55.6,5.23
596,113Alp Psc,155.35,24.65,-55.6,4.33
597,,125.99,54.01,18.89,6.05
598,,130.54,49.46,3.32,6.52
599,3Eps Tri,139.71,40.29,-27.25,5.5
600,,292.34,-112.34,-49.64,6.1
601,,148.19,31.81,-45.88,5.94
602,Chi Phe,268.87,-88.87,-67.48,5.14
603,57Gam1And,136.96,43.04,-18.56,2.26
604,57Gam2And,136.97,43.03,-18.56,4.84
605,10    Ari,142.61,37.39,-34.16,5.63
606,,226.33,-46.33,-74.19,6.42
607,60    Cet,158.18,21.82,-57.75,5.43
608,,181.14,-1.14,-69.6,5.86
609,,146.03,33.97,-41.35,6.21
610,61    Cet,158.88,21.12,-58.07,5.93
611,,162.91,17.09,-61.23,5.62
612,Nu  For,224.89,-44.89,-73.78,4.69
613,12Kap Ari,144.78,35.22,-37.02,5.03
614,,152.67,27.33,-50.26,6.31
