HR,GLAT,GLON,Vmag
854,-5.74,141.02,3.95
855,-18.55,147.81,5.33
856,-37.33,160.59,6.31
857,-58.26,192.06,6.04
858,-63.47,228.14,6.4
859,-56.35,187.02,6.32
860,2.15,137.21,5.59
861,4.67,135.96,6.24
862,-61.94,209.96,5.95
863,-62.12,244.62,5.92
864,-6.89,142.08,6.22
865,-10.53,143.97,6.02
866,-49.13,282.43,6.03
867,-35.45,159.93,5.91
868,-57.38,265.46,4
869,-35.62,160.29,5.63
870,-43.37,167.75,5.97
871,-56.8,266.92,6.21
872,-39.77,293.35,4.75
873,-23.77,151.88,5.11
874,-55.31,187.15,3.89
875,-52.04,180.36,5.17
876,-17.9,148.45,6.04
877,-46.17,171.55,6.11
878,-33.22,158.88,5.8
879,-16.92,148.04,4.7
880,-47.86,283.75,6.56
881,18.19,129.08,5.49
882,-20.78,150.45,4.93
883,-61.47,213.46,5.45
884,-62.31,226.08,6.29
885,-10.22,144.44,5.47
886,-15.64,147.5,5.89
887,-32.51,158.69,4.63
888,-32.51,158.69,4.63
889,-61.25,213.02,5.84
890,-5.63,142.11,5.28
891,-5.63,142.11,6.74
892,-51.03,179.79,5.23
893,-61.42,243.71,6.41
894,-18.11,149.09,6.11
895,-55.34,189.01,6.14
896,-42.41,168.21,4.7
897,-60.74,247.86,3.24
898,-60.73,247.85,4.35
899,-50.64,179.67,5.56
900,-61.85,224.1,6.14
901,-61.27,216.57,5.71
902,-40.74,166.8,5.95
903,-61.79,231.73,6.31
904,-50.7,180.47,6.11
905,-27.9,156.02,5.9
906,20.05,128.14,5.95
907,-53.64,186.62,5.75
908,-44.75,172.01,6.25
909,-47.79,282.85,4.99
910,-45.39,173.08,5.61
911,-45.59,173.32,2.53
912,-54.8,190.03,5.83
913,-52.74,185.31,6.19
914,-61.23,222.48,5.89
915,-4.34,142.07,2.93
916,-26.19,155.26,6.36
917,-53.34,187.04,5.32
918,-1.5,140.59,4.76
919,-60.29,213.54,4.09
920,-2.04,140.92,6.11
921,-17.01,149.6,3.39
922,5,137.14,5.89
923,-15.49,148.7,6.05
924,-36.22,163.84,6.49
925,-52.98,187.3,5.26
926,-46.77,176.17,6.05
927,-28.47,157.53,6.8
928,-28.47,157.53,7
929,-57.5,259.36,5.82
930,-5.21,143.14,6.31
931,-38.06,166.31,5.62
932,14.08,132.11,4.87
933,-9.47,145.59,6.41
934,-50.34,277.43,5.11
935,-51.62,185.87,5.27
936,-14.9,148.98,2.12
937,-7.39,144.58,4.05
938,-34.21,162.98,6.11
