HR,Color,GLON,GLAT
5825,ffffffff,331.96,8.44
5921,ffffffff,331.9,3.99
6320,ffffffff,331.89,-9.87
5882,ffffffff,331.88,5.44
6871,ffffffff,331.84,-21.15
8774,ffffffff,331.77,-56.77
5542,ffffffff,331.67,25.45
5587,ffffffff,331.45,21.19
5784,ffffffff,331.4,9.18
6805,ffffffff,331.4,-20.11
5562,ffffffff,331.34,23.25
6408,ffffffff,331.34,-12.58
5695,ffffffff,331.32,13.82
5696,ffffffff,331.3,13.71
6500,ffffffff,331.27,-14.36
5397,ffffffff,331.22,37.68
5615,ffffffff,331.19,19.1
8593,ffffffff,331.15,-51.17
8620,ffffffff,331.07,-51.97
5781,ffffffff,331.02,8.76
6059,ffffffff,330.98,-1.81
6251,ffffffff,330.88,-8.89
7004,ffffffff,330.86,-23.5
5687,ffffffff,330.85,13.95
6447,ffffffff,330.84,-13.64
8073,ffffffff,330.81,-39.04
6828,ffffffff,330.73,-20.81
6996,ffffffff,330.72,-23.39
6796,ffffffff,330.71,-20.19
6304,ffffffff,330.66,-10.33
5549,ffffffff,330.61,22.87
7524,ffffffff,330.58,-30.65
7012,ffffffff,330.57,-23.76
5682,ffffffff,330.56,13.81
5558,ffffffff,330.53,22.27
5871,ffffffff,330.51,4.16
8898,ffffffff,330.51,-60.31
9077,ffffffff,330.51,-70
6745,ffffffff,330.49,-19.59
5636,ffffffff,330.48,16.55
7036,ffffffff,330.43,-24.14
6055,ffffffff,330.4,-2.27
8352,ffffffff,330.39,-44.71
7455,ffffffff,330.29,-29.68
8502,ffffffff,330.22,-47.96
6022,ffffffff,330.13,-1.82
5355,ffffffff,330.06,39.52
5821,ffffffff,330.05,6.01
5667,ffffffff,329.98,13.66
6219,ffffffff,329.98,-8.47
6073,ffffffff,329.86,-3.59
5890,ffffffff,329.8,2.54
7665,ffffffff,329.79,-32.4
6215,ffffffff,329.77,-8.48
5344,ffffffff,329.69,39.8
6229,ffffffff,329.64,-9.16
6740,ffffffff,329.59,-19.84
7663,ffffffff,329.57,-32.36
6024,ffffffff,329.49,-2.53
5332,ffffffff,329.44,40.31
8125,ffffffff,329.44,-39.74
7435,ffffffff,329.34,-29.51
5086,ffffffff,329.33,68.05
5585,ffffffff,329.31,18.08
5474,ffffffff,329.23,26.24
5708,ffffffff,329.23,10.32
7278,ffffffff,329.22,-27.27
5832,ffffffff,329.21,4.45
5624,ffffffff,329.18,15.22
7513,ffffffff,329.18,-30.5
5301,ffffffff,329.16,42.49
5579,ffffffff,329.05,18.43
5742,ffffffff,329.05,7.97
6356,ffffffff,329.02,-12.75
6471,ffffffff,328.99,-15.24
7130,ffffffff,328.98,-25.59
7603,ffffffff,328.96,-31.52
7913,ffffffff,328.96,-36.01
7612,ffffffff,328.95,-31.67
5668,ffffffff,328.9,11.97
6440,ffffffff,328.89,-14.75
6120,ffffffff,328.87,-6.34
6019,ffffffff,328.86,-3.19
8907,ffffffff,328.86,-59.92
5233,ffffffff,328.8,51.59
7644,ffffffff,328.48,-31.98
5390,ffffffff,328.45,33.4
5604,ffffffff,328.45,15.32
5607,ffffffff,328.44,15.08
5937,ffffffff,328.43,-0.76
6582,ffffffff,328.4,-17.75
